Provider,PotentialFraud,ip_unique_operating,avg_part_a_months,avg_part_b_months,log_ip_claim_count,log_ip_total_reimbursed,log_ip_avg_reimbursed,log_ip_total_deductible,log_op_claim_count,log_op_total_reimbursed,log_op_avg_reimbursed,log_op_total_deductible,log_ip_unique_beneficiaries,log_op_unique_beneficiaries,log_ip_claims_per_beneficiary,log_op_claims_per_beneficiary,log_avg_ip_annual_reimb,log_avg_op_annual_reimb,inpatient_ratio,reimbursement_inpatient_ratio,claims_per_beneficiary,high_cost_provider,PotentialFraud_binary
PRV51001,No,2.0,12.0,12.0,1.791759469228055,11.48247656671073,9.873079890114703,8.58316818033977,3.044522437723423,8.941283763647567,5.948034989180646,0.0,1.791759469228055,2.995732273553991,0.6931471805599453,0.7191226669632059,9.800840943492625,7.839328634387449,0.2,0.9269877675840978,1.3157894736842106,1,0
PRV51003,Yes,40.0,11.794871794871796,11.854700854700855,4.143134726391533,13.258642740896052,9.131614807241604,11.100692506541325,4.2626798770413155,10.394243113248184,6.147857608875767,4.2626798770413155,3.9889840465642745,4.204692619390966,0.7746402148111282,0.7230001437096264,8.826883852420531,7.82067966731389,0.4696969696969697,0.9460597354995295,2.0,1,1
PRV51004,No,0.0,11.855072463768115,11.956521739130435,0.0,0.0,0.0,0.0,5.0106352940962555,10.862282063937007,5.861168566853116,5.739792912179234,0.0,4.9344739331306915,0.0,0.7322285306024163,8.433319968270979,7.647855187867445,0.0,0.0,1.0797101449275361,1,0
PRV51005,Yes,0.0,11.83030303030303,11.886868686868686,0.0,0.0,0.0,0.0,7.061334366910438,12.545793172168969,5.489451906006846,8.216358332386156,0.0,6.206575926724928,0.0,1.2100151187818986,8.221003652405688,7.495435316426462,0.0,0.0,2.3535353535353534,1,1
PRV51007,No,1.0,11.793103448275861,11.793103448275861,1.3862943611198906,9.852246888342531,8.753739851753249,8.07246736935477,4.248495242049359,9.596350792250211,5.366856028617313,4.110873864173311,1.3862943611198906,4.04305126783455,0.6931471805599453,0.8029620465671519,8.04258864935723,7.312047285482492,0.041666666666666664,0.5636309700385642,1.2857142857142858,1,0
PRV51008,No,2.0,12.0,12.0,1.0986122886681098,10.12667110305036,9.433563920090563,7.667158255319148,3.7376696182833684,9.271529540288606,5.561712993912257,5.198497031265826,1.0986122886681098,3.5553480614894135,0.6931471805599453,0.791127588920149,8.886823846515187,7.873111269458913,0.046511627906976744,0.7016559079427449,1.2647058823529411,1,0
PRV51011,No,0.0,12.0,12.0,0.6931471805599453,8.517393171418904,8.517393171418904,6.974478911025045,4.060443010546419,9.36142922633904,5.323181124098607,5.707110264748875,0.6931471805599453,3.970291913552122,0.6931471805599453,0.7401041636477164,8.236245623899055,7.269025309697651,0.017241379310344827,0.30066145520144316,1.1153846153846154,0,0
PRV51012,No,0.0,12.0,11.612903225806452,0.0,0.0,0.0,0.0,3.8918202981106265,9.734536214680345,5.866113886573653,4.61512051684126,0.0,3.4657359027997265,0.0,0.9354606479818752,8.473551364688417,7.800295212683971,0.0,0.0,1.5483870967741935,0,0
PRV51013,No,0.0,12.0,12.0,0.0,0.0,0.0,0.0,3.8501476017100584,9.60784051043005,5.782218541202238,5.442417710521793,0.0,3.8066624897703196,0.0,0.7156200364120039,8.243258611902192,8.089858867542722,0.0,0.0,1.0454545454545454,0,0
PRV51014,No,0.0,12.0,12.0,0.0,0.0,0.0,0.0,3.4339872044851463,9.257319373170178,5.858885082208841,4.795790545596741,0.0,3.258096538021482,0.0,0.7884573603642702,7.9027093060392595,7.419500479807511,0.0,0.0,1.2,0,0
